date,id,sales,asins,brand,categories,name,Price
02/11/2016,70,2495.075874,B07FL21JPQ,Aroura Achar Since 1944,Grocery & Gourmet Foods, Aroura Achar Since 1944 Mango Pickle (1 kg) ,215
02/11/2016,71,57686.49731,B07VRRVPJ3,ASHTAAROMAS,Fragrance, ASHTAAROMAS Pack of 2 Cherry Attar Perfume Oil (9 ml Each) ,489
02/11/2016,72,37176.24281,B018K00DOO,Hyderabad Perfumers,Fragrance, Asli Pahadi Phool Exotic Perfume (6 ml) ,180
02/11/2016,73,219.0358623,B079M848HF,atoz prime,Skin Care, Atoz prime Replenishing Deep Body Cream Body Lotion Soothing Moisturizer Whitening Cream Anti Wrinkle Skin Care Body Care 250ml ,5610
02/11/2016,74,2093.890182,B07NRL47DV,Fragmas,Fragrance," Attar Box with 3 Crystal Bottles (Perfumes- Polosport, Tomford, Joyful) ",7200
02/11/2016,75,10978.56404,B00N2HKB20,Auravedic,Hair Care," Auravedic Hair Fall Control Shampoo, 250ml ",250
02/11/2016,76,22311.51475,B07QL7QFP6,Avalon Organics,Skin Care," Avalon Organics Brilliant Balance Ultimate Night Cream, 2 Oz ",6080
02/11/2016,77,71576.08776,B00GB9O9CO,Aveeno,Skin Care, Aveeno Moisturizing Bar for Dry Skin 3 Oz (Pack of 4) ,3595
02/11/2016,78,6611.338563,B07GVDVL79,Aveeno,Bath & Shower," Aveeno Positively Radiant Exfoliating Daily Cleansing Pads, 28 Count ",2515
02/11/2016,79,8286.946682,B007RIEYGO,AVON,Skin Care, Avon Anew Ultimate 7s Day Cream ,1999
02/11/2016,80,3879.496607,B07QLMQCGC,AVON,Bath & Shower, Avon Attraction Rush For Him Hair & Body Wash 200ml ,499
02/11/2016,81,11609.72736,B071RYWZL8,AVON,Fragrance, Avon Imari Seduction Skin EDP + Skin Softeners (combo set) ,1199
02/11/2016,82,1000.659181,B07DZ9RJQF,AVON,Skin Care, Avon Life for Her Body Spray 150ml ,340
02/11/2016,83,19296.82271,B07G6K8VZ6,AVON,Skin Care, Avon Naturals Papaya Whitening Cream 50g ,255
02/11/2016,84,3320.43632,B077NK7LRV,AVON,Skin Care, Avon Naturals Red Rose & Peach Hand Cream ,229
02/11/2016,85,359.6710712,B01BBNF66M,AXE,Skin Care," AXE Recharge Game Face Bodyspray, 150ml ",149
02/11/2016,86,29458.30971,B0743MZ8R8,AXE,Bath & Shower," Axe Recharge Ocean Breeze Deodorant, 150ml ",184
02/11/2016,87,55575.41377,B07PPZTQGZ,Ayur,Skin Care, Ayur Deep Pure Cleansing Milk 100 ML(Pack of 3) ,150
02/11/2016,88,986.0844794,B07BNLLPDC,AZGGN,Skin Care," AZGGN Hand Callus Remover, Palm Finger Thumb Callus Shaver Titania With 10 Blades For Removing Hard, Cracked, Dry Skin ",3049
02/11/2016,89,734.7889058,B01MRJRC38,B&B Organics,Grocery & Gourmet Foods, B&B Organics Chick Pea (5kg) ,949
02/11/2016,90,8194.019049,B01NARSD5B,B&B Organics,Grocery & Gourmet Foods," B&B Organics Filter Coffee Powder No Chicory Added, 250 g ",350
02/11/2016,91,3568.976281,B01N8RHRKM,B&B Organics,Grocery & Gourmet Foods," B&B Organics Turmeric Powder, 250 g ",205
02/11/2016,92,7501.411294,B06WRVV5SR,Generic,Skin Care," B&T Refreshing Cool Bathing Bar, 75 gm [ Pack of 12] ",600
02/11/2016,93,23944.42823,B00XXALD6Y,Babalah,Skin Care, BABALAH SILICONE FACE POWDER CAKE 2 WAY WATERPROOF SPF20++ 14 g by Babalah ,8013
02/11/2016,94,4298.556068,B07QQJTHQZ,BabyGanics,Skin Care," Babyganics Mineral-Based Sunscreen Spray, 50 Spf, 6 Oz ",5760
02/11/2016,95,31491.80034,B006QFVF4I,Back,Hair Care, Back To Basics Vanilla Plum Fortifying Conditioner 12oz ,1953
02/11/2016,96,59850.69331,B008617U3K,Dr. D Schwab,Skin Care, Bamboo Cream Peel ,3627
02/11/2016,97,693.4825853,B00GMPBWKO,Unknown,Skin Care," Banana Boat Sport Performance Lotion Sunscreens with PowerStay Technology SPF 30, 8 Ounces (3 Pack) ",5689
02/11/2016,98,19495.25964,B007F41WGA,Unknown,Fragrance, Banana Republic W Eau De Parfum ,9619
02/11/2016,99,9429.696951,B00JMELFXQ,Barbie,Bath & Shower," Barbie Body Mist Deo (Pink Love, 200 Ml) ",1193
02/11/2016,100,19897.52766,B07JG94VTT,Baskety,Skin Care, Baskety Super Soft Silicone Gel Heel Cup Heel Pad Shock Absorption Cushion Insole (S/M) ,189
02/11/2016,101,8758.559129,B00PKOJH4G,Bath & Body Works,Skin Care, Bath and Body Works A Thousand Wishes Shimmer Swirl Lotion 5 Oz ,5334
02/11/2016,102,71551.33323,B07H3TWKF2,bath,Bath & Shower, bath and body works sugared cranberry cider shower gel 10 fluid ounce (2018 edition) ,2659
02/11/2016,103,185946.2914,B01IN9MR9G,Batiste,Hair Care," Batiste Stylist Oomph My Locks XXL Volume Spray Shampoo, 200ml ",549
02/11/2016,104,82636.24706,B07YHX11MF,BAW,Skin Care, BAW Aloe : Collagen Essence Facial Mask Sheet 3D Moisture Face Mask Pack Skin Care ,568
02/11/2016,105,4145.638671,B00L1MJQEM,Beauche International,Skin Care, Beauche Kojic Beauty Soap Bar90Grams ,1033
02/11/2016,106,69138.00106,B07LFG3W5V,eecoo,Skin Care," Beauty Device, for Wrinkle Reduction and Skin Firming, Portable Massage USB Hammer Skin Tighten Face Lifting Device with 3 Heads ",2023.12
02/11/2016,107,21304.29085,B07WSK851D,BeautyNeeds,Skin Care, BeautyNeeds 1 pc Natural Herb Nails Repair Cream Nail Foot Protector Skin Care Cream Nail Fungus Treatment Herb Nail Care Tools ,794
02/11/2016,108,40961.65189,B07WQZ1121,BeautyNeeds,Skin Care, BeautyNeeds 15g Nail Foot Protector Skin Care Cream Nail Fungus Onychomycosis Treatment Herb Nails Repair Fingernail Tools High Quality HOT ,938
02/11/2016,109,15216.17039,B07ZHPFZPM,BeautyNeeds,Skin Care, BeautyNeeds 24tips/lot Removable Exercise False Nail Display Stand Art White Grey Color Swatches Wholesale Training Manicure Fake Nail Tools ,598
02/11/2016,110,3362.971722,B07ZHNSVQB,BeautyNeeds,Skin Care, BeautyNeeds High Quality Stainless Steel Nail Clipper Cutter Trimmer Ear Pick Grooming Kit Manicure Set Pedicure Toe Nail Art Tools Set Kits ,977
02/11/2016,111,9188.156361,B07Y7K2L72,BeautyNeeds,Skin Care, BeautyNeeds Reusable Spa Gel Socks & Gloves Moisturizing Whitening Exfoliating Velvet Smooth Beauty Hand Silicone Socks ,1228
02/11/2016,112,10646.40191,B071D2V1PD,BEGATES,Skin Care, BEGATES WOMENS FACE CARE CRÈME ,350
02/11/2016,113,305.3821676,B075R7SD9F,Bekind,Skin Care," Bekind Rose Flower Powder, 40 g (Pack of 4) ",292
02/11/2016,114,332.3732283,B07SR8KDXK,Creamix,Grocery & Gourmet Foods, Belgian Waffle Mix Irish Cream 400G ,105
02/11/2016,115,11080.51583,B07SN9PG5V,Creamix,Grocery & Gourmet Foods, Belgian Waffle PREMIX Butterscotch 4000G ,550
02/11/2016,116,9556.455899,B075TYKWTD,Bhagabat,Grocery & Gourmet Foods," Bhagabat All Purpose Rasoi Rani Gravy and Masala, 50 Grams (4 Pack) & Get 50 GMS Pack Free ",180
02/11/2016,117,14515.24953,B07Z66TX6K,Bhavani Foods,Grocery & Gourmet Foods, Bhavani Foods Premium Gangotri Khakhra  Punjabi Super Quality (Pack of 2) 200 GMS Each ,120
02/11/2016,118,396.1579499,B07K6V84FL,Bhavani's,Grocery & Gourmet Foods," Bhavanis Organic Instant Bengal Gram Powder, 100 Gram (Pack of 1) ",126
02/11/2016,119,6938.668265,B07PTS9YV2,BIOAYURVEDA,Skin Care, BIOAYURVEDA Homme Youth Clair Anti-Marks Face Cream 20 g for Men ,599
02/11/2016,120,72788.14274,B01BGLWC1G,Biotherm,Skin Care," Biotherm Aquasource Everplump Plumping Smoothing Moisturizing Treatment, 1.69 Ounce ",6497.31
02/11/2016,121,11228.3996,B06XSW3YRP,Biotherm,Skin Care," Biotherm Biovergetures Stretch Marks Prevention and Reduction Cream Gel for Women, 5.07 Ounce ",9846
02/11/2016,122,1783.532141,B01MYT6VVI,Biotique,Skin Care," Biotique Combo Body Wash, Sunscreen and Skin Lotion ",574
02/11/2016,123,43898.35216,B06XSRZV65,Lather+%26+Fizz+Bath+Boutique,Bath & Shower, Black & Tan Beer Soap 4Pack ,7269
02/11/2016,124,1374.685685,B07BJMZZMZ,Nice & Nature,Skin Care, black berry face gel 450 ,227
02/11/2016,125,17697.97405,B07HD68JQ4,ATC Premium Foods,Grocery & Gourmet Foods, Black Chickpea  Chana Kala 450g ,105
02/11/2016,126,4666.668978,B07XJCMXX8,BZA Mart,Skin Care, Blackhead Tweezers Blackhead&Blemish Removers Point Bend ,1067
02/11/2016,127,36858.64515,B01M9B1ZD6,BodyHerbals,Skin Care," BodyHerbals Lavender Soap Spa Set, (Gifting Ideas for all Occasions, Birthday, Anniversary, Weddings, Christmas, Diwali) ",610
02/11/2016,128,63961.92971,B07GCS9ZD8,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Chocolate Coated Butterscotch Nuts/Crispy  50G Free with Pack of 2 Unique Type Rakhi, Complete Rakhi Set for Bothers + Free Roli Chawal + Free Rakhi Special Brother Sister Story Cards Set ",339
02/11/2016,129,1540.425883,B01IZQ1U2W,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Chocolate Gift Box, Happy Diwali Chocolate, Diwali Chocolate Gifts, Diwali Chocolate Gift, Diwali Chocolate Bar, Diwali Gifts, 15 Pieces ",769
02/11/2016,130,22485.16993,B07N12F2RQ,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Chocolates Valentine Day Gift for Wife, Photo Frame Chocolate Box, Heart Chocolates, 12 Pcs + Free VDay Card + Free Teddy ",599
02/11/2016,131,1891.309138,B07MGBZCN1,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Chocolates Valentines Day Gift for Girlfriend, 4 Choco Red Box + Free VDay Card + Free Fur Heart ",249
02/11/2016,132,5437.321334,B06Y4BJCYJ,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Happy Anniversary Chocolates, Travelers Choice, Dark Chocolates, Love Chocolates, Premium Chocolates, 180 G ",598
02/11/2016,133,660.6852185,B06Y5C1N1Q,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Happy Anniversary Gift for Wife, Anniversary Gift Ideas, Fruit Mandiants 120 G ",399
02/11/2016,134,4289.919415,B06ZY9NKCQ,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Happy Anniversary Personalized White Chocolate Photo Frame with Dried Cranberries for Boss, Wt. 70G, Sz.  (12.5Cm X 7.8Cm) ",500
02/11/2016,135,27221.257,B078HPKNKF,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Happy New Year Gift Hampers, Gift Dark Chocolate Bar + 2018 Calendar + Happy New Year Blessings Card with Goddess Durga Photo ",379
02/11/2016,136,15419.94032,B07F5VP2FZ,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Mr.PoppS Dark Chocolate Popcorn, 100% Crunchy Handcrafted Gourmet Popcorn Snacks, Best Birthday Gift for Girlfriend, 375G + Free Happy Birthday Greeting Card ",529
02/11/2016,137,44621.84606,B07F5W4998,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Mr.PoppS Dark Chocolate Popcorn, 100% Crunchy Handcrafted Gourmet Popcorn Snacks, Perfect Rakhi Gift for Girl, 250G + Free Happy Rakhi Greeting Card ",439
02/11/2016,138,4816.647488,B06Y58PTG1,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Musk Melon Delight, 18% Dark Chocolate with Richness of Musk Melon Seeds, 1 Piece, Chocolate Bar, 80G ",399
02/11/2016,139,252.0912537,B078HDQJYB,BOGATCHI,Grocery & Gourmet Foods," Bogatchi New Year Hampers, 18 Pieces + 2018 Calendar + Happy New Year Blessings Card with Lord Krishna Photo ",649
02/11/2016,140,22169.76372,B01JMB95JY,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Personalized Diwali Chocolate Bar, 1 Pc ",279
02/11/2016,141,75516.67349,B07LCV4Z7H,BOGATCHI,Grocery & Gourmet Foods," Bogatchi Signature 99% Dark Chocolate |3In1 (Mango, Strawberry, Almonds)| Real Cocoa Intense Dark Chocolate, 80 Gm ",897
02/11/2016,142,2814.499979,B01M7MPASW,Borghese,Skin Care, Borghese Equalizing Restorative  50ml/1.7oz ,6327
02/11/2016,143,7815.89446,B0006NYQNI,Annemarie Borlind,Skin Care, Borlind Of Germany Rose Dew Night Cream 1.69 Ounces ,7479
02/11/2016,144,64567.25689,B07QDTZYSJ,SLB Works,Skin Care, Branded SLB Works New 1.5mm Titanium 1200 needles Microneedles Meso Derma Roller Acne Scar Skin S B6M6 ,2040
02/11/2016,145,847.571517,B07QHZWNHP,SLB Works,Hair Care, Branded SLB Works New Water Ice Levin Natural Herbal Hair Care Loss Growth Essence Oil Treatment Y4N1 ,1578
02/11/2016,146,4528.891347,B000OIS7SK,Britney Spears,Fragrance," Britney Spears Midnight Fantasy, 1Ounce ",3099
02/11/2016,147,14126.37282,B076JKC1M2,BSD Organics,Skin Care, BSD Organics Purity Neem oil  100 ml ,120
02/11/2016,148,283.1603093,B01HHIWC0S,Bubble Washpods,Detergents & Dishwash, Bubble Washpods Liquid Laundry Detergent Soap (Rose) - 15 Loads ,250
02/11/2016,149,2143.666777,B01HMHDO6A,CHOCOCRAFT,Grocery & Gourmet Foods, Buy best gift for ganesh chaturthi - 18 Chocolate Gift Box - Unique gift for ganesh Chaturthi ,995
02/11/2016,150,2414.855025,B07LF4NPR4,BuyChoice,Skin Care, BuyChoice 24K Gold Moisturizing Facial Serum Mask Anti Aging Wrinkle Whitening Skin Care ,2708
02/11/2016,151,210.9946451,B07M5KLM5G,BuyChoice,Skin Care, BuyChoice Acne Scar Removal Cream Skin Repair Face Cream ,7772
02/11/2016,152,9397.396871,B07S9FNP4M,BuyChoice,Skin Care, BuyChoice Eyes Skin Care Anti Wrinkle Ageless Sleep Mask Eye Patch Eye Patches Dark Circle ,1190
02/11/2016,153,13803.45421,B07HLM1HGW,BuyChoice,Skin Care, BuyChoice Highly Moisturizing Face And Body Cream Natural Skin Softener ,6059
02/11/2016,154,15062.93644,B07LF3SDQT,BuyChoice,Skin Care, BuyChoice Six Peptide Cream Wrinkles Removal AntiAging Anti Lifting Firming Whitening Face Cream ,1210
02/11/2016,155,566.3634092,B07LF4QZX6,BuyChoice,Skin Care, BuyChoice Whitening Cream Serum Wrinkle Removal Freckle Melasma Acne Scar Pigmentt Melanin Cream ,4309
02/11/2016,156,4829.647992,B07V5Q2FSG,Byahut Gold,Grocery & Gourmet Foods, Byahut Gold - Cardamom Green Tea - 200g ,475
02/11/2016,157,20247.18245,B06XSQTLTP,Canus,Skin Care," Canus Caprina Lotion, Olive Oil, 2.5 Ounce ",3280
02/11/2016,158,89342.18719,B00BR44YIM,Carapex,Skin Care, Carapex Natural Body Butter Heavy Duty Hand Cream 120ml ,3877
02/11/2016,159,3089.896551,B0102TJONM,Carmex,Bath & Shower, Carmex .25 Oz Jars Lip Balm 24 Count ,5753
02/11/2016,160,24161.33921,B07QY31WHN,Carnival,Skin Care, CARNIVAL Creation Being Trendy Loofah/body sraber ,199
02/11/2016,161,15973.71925,B06XST6CVB,Carol's Daughter,Skin Care, Carols Daughter Loc Butter 20433 - 226g/8oz ,4535
02/11/2016,162,21803.89131,B07M9VX9V4,Eternal Bliss,Bath & Shower," Cassia Essential Oil, 100% Pure, Undiluted (100ML) ",690
02/11/2016,163,14027.48933,B00DQXJW9S,Ancient Formulae,Hair Care, Castor Herbal Hair Oil 100ML ,3107
02/11/2016,164,36807.3937,B00375SYT4,TIGI,Hair Care, Catwalk Headshot Reconstructive Intense Conditioner - 200ml/6.76oz ,7953
